Prevalence,FailureToTreatPercentage,UnnecessaryUsePercentage
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
